profile,group,get_redirect_from,TypeParent,ProfileParent,cross_walk_url
Event,events,"- ""/devSpecs/Event/specification/""
- ""/devSpecs/Event/specification""
- ""/devSpecs/Event/""
- ""/devSpecs/Event""
- ""/specifications/drafts/Event/""
- ""/specifications/drafts/Event""
- ""/specifications/Event/""
- ""/specifications/Event""
- ""/profiles/Event/""
- ""/profiles/Event
",,schema:Event,https://docs.google.com/spreadsheets/d/1Hu1dmrS7jPgHWp8hUQWve9BzaYZi_EzTj9-gDuI9sBM/
FormalParameter,workflow,"- ""/devSpecs/FormalParameter/specification/""
- ""/devSpecs/FormalParameter/specification""
- ""/devSpecs/FormalParameter/""
- ""/devSpecs/FormalParameter""
- ""/specifications/drafts/FormalParameter/""
- ""/specifications/drafts/FormalParameter""
- ""/specifications/FormalParameter/""
- ""/specifications/FormalParameter""
- ""/profiles/FormalParameter/""
- ""/profiles/FormalParameter""",schema:Intangible,bioschemastypes:FormalParameter,https://docs.google.com/spreadsheets/d/1VKntwxkgjvup6yfzaPZsBN3h5aKWU5nuTKGEds3GzeQ/edit#gid=1483018794
Gene,genes,"- ""/specifications/Gene/""
- ""/specifications/Gene""
- ""/profiles/Gene/""
- ""/profiles/Gene""",schema:BioChemEntity,schema:Gene,https://docs.google.com/spreadsheets/d/1iCMknj6yWbkJsMiQ46_nSa82lZ4jNFOk-ZKx2ZApFq8/edit#gid=1483018794
Journal,publications,"- ""/devSpecs/Journal/specification/""
- ""/devSpecs/Journal/specification""
- ""/devSpecs/Journal/""
- ""/devSpecs/Journal""
- ""/specifications/drafts/Journal/""
- ""/specifications/drafts/Journal""
- ""/specifications/Journal/""
- ""/specifications/Journal""
- ""/profiles/Journal/""
- ""/profiles/Journal""",,schema:CreativeWorkSeries,https://docs.google.com/spreadsheets/d/1FM0-KW6MI3_-yvDUI_oZ8D5vR8muvmR9RHm7Ocd6YdU/
LabProtocol,labprotocols,"- ""/devSpecs/LabProtocol/specification/""
- ""/devSpecs/LabProtocol/specification""
- ""/devSpecs/LabProtocol/""
- ""/devSpecs/LabProtocol""
- ""/specifications/drafts/LabProtocol/""
- ""/specifications/drafts/LabProtocol""
- ""/specifications/LabProtocol/""
- ""/specifications/LabProtocol""
- ""/profiles/LabProtocol/""
- ""/profiles/LabProtocol""",schema:CreativeWork,bioschemastypes:LabProtocol,https://docs.google.com/spreadsheets/d/1KfhBNetyt9xzI7cs3S6HwIWEsgWpPEKnGlqu19Q49vo/
MolecularEntity,chemicals,"- ""/devSpecs/MolecularEntity/specification/""
- ""/devSpecs/MolecularEntity/specification""
- ""/devSpecs/MolecularEntity/""
- ""/devSpecs/MolecularEntity""
- ""/specifications/drafts/MolecularEntity/""
- ""/specifications/drafts/MolecularEntity""
- ""/specifications/MolecularEntity/""
- ""/specifications/MolecularEntity""
- ""/profiles/MolecularEntity/""
- ""/profiles/MolecularEntity""",schema:BioChemEntity,schema:MolecularEntity,https://docs.google.com/spreadsheets/d/1KKg8JJzK3GybuVrvdZxbMqG2PYkU_0e7gTUqWzGx3QQ/edit#gid=1483018794
Organization,organizations,"- ""/devSpecs/Organization/specification/""
- ""/devSpecs/Organization/specification""
- ""/devSpecs/Organization/""
- ""/devSpecs/Organization""
- ""/specifications/drafts/Organization/""
- ""/specifications/drafts/Organization""
- ""/specifications/Organization/""
- ""/specifications/Organization""
- ""/profiles/Organization/""
- ""/profiles/Organization""",,schema:Organization,https://docs.google.com/spreadsheets/d/1Cy45Llql88NvkqwRw7WD1y8HeVQ4z5_V6MhJh6hhbks/
Person,people,"- ""/devSpecs/Person/specification/""
- ""/devSpecs/Person/specification""
- ""/devSpecs/Person/""
- ""/devSpecs/Person""
- ""/specifications/drafts/Person/""
- ""/specifications/drafts/Person""
- ""/specifications/Person/""
- ""/specifications/Person""
- ""/profiles/Person/""
- ""/profiles/Person""",,schema:Person,https://docs.google.com/spreadsheets/d/1vliGiKWlHzqXWcGPa15l0PzJbQGXPKxYPq8Mups_or4
Phenotype,phenotypes,"- ""/devSpecs/Phenotype/specification/""
- ""/devSpecs/Phenotype/specification""
- ""/devSpecs/Phenotype/""
- ""/devSpecs/Phenotype""
- ""/specifications/drafts/Phenotype/""
- ""/specifications/drafts/Phenotype""
- ""/specifications/Phenotype/""
- ""/specifications/Phenotype""
- ""/profiles/Phenotype/""
- ""/profiles/Phenotype""",schema:Thing,bioschemastypes:Phenotype,https://docs.google.com/spreadsheets/d/1Vk8C-T6tjTL-s_u3xiCnjp87zVWCPQVbzySv1jqsK78/
Protein,proteins,,schema:BioChemEntity,schema:Protein,https://docs.google.com/spreadsheets/d/1agujmyTPuysB0268Nptfbg6IVI_5Su3I9do092oYEdE/edit#gid=1483018794
ProteinAnnotation,proteins,"- ""/devSpecs/ProteinAnnotation/specification/""
- ""/devSpecs/ProteinAnnotation/specification""
- ""/devSpecs/ProteinAnnotation/""
- ""/devSpecs/ProteinAnnotation""
- ""/specifications/drafts/ProteinAnnotation/""
- ""/specifications/drafts/ProteinAnnotation""
- ""/specifications/ProteinAnnotation/""
- ""/specifications/ProteinAnnotation""
- ""/profiles/ProteinAnnotation/""
- ""/profiles/ProteinAnnotation""",,schema:BioChemEntity,https://docs.google.com/spreadsheets/d/1gnZePvUKpXE8gXbMLdZ3kfSgyqp-LY8cbDXO8NamyEM/
ProteinStructure,proteins,"- ""/devSpecs/ProteinStructure/specification/""
- ""/devSpecs/ProteinStructure/specification""
- ""/devSpecs/ProteinStructure/""
- ""/devSpecs/ProteinStructure""
- ""/specifications/drafts/ProteinStructure/""
- ""/specifications/drafts/ProteinStructure""
- ""/specifications/ProteinStructure/""
- ""/specifications/ProteinStructure""
- ""/profiles/ProteinStructure/""
- ""/profiles/ProteinStructure""",,schema:BioChemEntity,https://docs.google.com/spreadsheets/d/1MfvX5tJs5mKA835e-98eaLmN5_5xYjFfcMcbtdMRtC4
PublicationIssue,publications,"- ""/devSpecs/PublicationIssue/specification/""
- ""/devSpecs/PublicationIssue/specification""
- ""/devSpecs/PublicationIssue/""
- ""/devSpecs/PublicationIssue""
- ""/specifications/drafts/PublicationIssue/""
- ""/specifications/drafts/PublicationIssue""
- ""/specifications/PublicationIssue/""
- ""/specifications/PublicationIssue""
- ""/profiles/PublicationIssue/""
- ""/profiles/PublicationIssue""",,schema:PublicationIssue,https://docs.google.com/spreadsheets/d/12JdtgbvHreHV5J7UhnWcaVZylrjAp0PG-r-0IoIH7u4/
